# Transcripción: chunk_024.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  The others, 5,000.
[0:56:12]  I'm happy to answer any questions that folks have.
[0:56:16]  Yes, yes.
[0:56:23]  So the question is what are my thoughts on the emoji movie?
[0:56:26]  You're talking about the Sony animated one.
[0:56:28]  Yes, okay.
[0:56:30]  My thought on that is it is better than a 6% rating
[0:56:33]  on Rotten Tomatoes would lead you to believe.
[0:56:36]  So that's my one thought.
[0:56:37]  And my next thought is that that was a rush job
[0:56:42]  from an animation perspective.
[0:56:43]  That was about 18 months of,
[0:56:47]  whereas a typical animated movie takes four years.
[0:56:50]  So in my spare time,
[0:56:51]  I also produce movies and documentaries.
[0:56:53]  So one thing that is key to know about movies
[0:56:59]  and animated movies, and this is very important,
[0:57:01]  they take a very long time, but you can always fix it
[0:57:04]  because you haven't shot anything.
[0:57:07]  And a very good example of that is,
[0:57:08]  I assume you guys have seen Frozen.
[0:57:10]  If you haven't seen, you've seen of the age
[0:57:12]  that you would have seen Frozen.
[0:57:13]  I do not understand like how huge a phenomenon
[0:57:17]  or why it was such a huge phenomenon.
[0:57:19]  But they actually did an original cut of Frozen.
[0:57:24]  And it did, so I don't know if you guys know
[0:57:27]  the sort of Snow Queen thing,
[0:57:29]  but she's like super dark and like not fun
[0:57:31]  and like kind of evil and like not someone
[0:57:34]  you want to like get behind as a character.
[0:57:35]  So they actually did sort of a rough cut of that, of Frozen.
[0:57:39]  And they came out of that with, it's just storyboarding.
[0:57:42]  And they were like, that is not good.
[0:57:44]  And they killed it.
[0:57:46]  So they were like, we can't go with this.
[0:57:48]  And then started from scratch, more or less again,
[0:57:51]  starting with the song, Let It Go,
[0:57:54]  which is actually written by a kid
[0:57:55]  from my elementary school, Bobby Lopez
[0:57:57]  or co-written by Bobby Lopez.
[0:57:59]  I also, actually fun fact, I also went,
[0:58:01]  I would take the school bus with Lin Manuel Miranda.
[0:58:05]  So I was a fourth grader when he was like a kindergartener.
[0:58:07]  So we had a very musical elementary school in New York City.
[0:58:10]  But the thing is they could fix it
[0:58:12]  because they had enough time and have enough money.
[0:58:14]  Not like movies where you shoot humans, much harder to fix.
[0:58:19]  Because you have the footage that you have
[0:58:20]  and you can do little pickups, but you can't fix it.
[0:58:22]  So essentially what happened in that case,
[0:58:24]  I think it's 18 months and it could have gotten better.
[0:58:28]  A lot of the movies that you see with Pixar,
[0:58:30]  like it's very, it's actually sort of emotionally similar
[0:58:32]  to the movie called Inside Out.
[0:58:35]  And, but inside they just have more time and so it's better.
[0:58:38]  So as opposed to 18 months,
[0:58:39]  which is not long enough to make animated movie, good.
[0:58:43]  But the other fun thing is it was so weird
[0:58:47]  because they sold sponsorships.
[0:58:48]  It was like, like, oh my God, here comes the bots
[0:58:53]  and the malware.
[0:58:54]  Let's go into Dropbox and protect ourselves.
[0:58:57]  And so I think that it got a lot of like bad kind of,
[0:59:01]  kind of vibes from the press for doing things like that.
[0:59:04]  But from a kid's perspective, it's fine.
[0:59:07]  I think if, I don't know that I would like put
[0:59:10]  into my top 10 of animated pictures,
[0:59:13]  but it's better than 6% on Rotten Tomatoes.
[0:59:16]  And then actually, if you guys ever care,
[0:59:17]  we have done, I did a documentary about emoji.
[0:59:21]  So, and all the people that helped create emoji.
[0:59:24]  And we did a CS50X movie night, I think,
[0:59:29]  during the pandemic, was it during the pandemic?
[0:59:31]  Everything's sort of like blurred together,
[0:59:33]  but it was during the pandemic.
[0:59:35]  Are we, more questions?
[0:59:37]  Yes.
[0:59:48]  Or there's the man, yeah.
[0:59:52]  Yeah, that's a very good question.
[0:59:53]  Yeah, so the question is one of the proposed,
[0:59:56]  one of our criteria is of...
