# Transcripción: chunk_016.mp3
# Modelo: medium | Duración audio: 0:59:59

[0:00:00]  Structured query language.
[0:57:17]  filtering it perhaps by where some condition is true.
[0:57:21]  So suppose I've changed my mind or, you know what,
[0:57:25]  let's go ahead and do update favorites.
[0:57:29]  Set language equal to maybe C++ where language equals C. Now this
[0:57:36]  is destructive, so you generally don't want
[0:57:38]  to do this unless you have a backup of your data, too,
[0:57:40]  overriding what people's answers are.
[0:57:42]  This seems to have been successful because no error messages.
[0:57:45]  And if I rerun the previous select that gives me all of the favorites
[0:57:48]  where language equals C, now, indeed, I get none.
[0:57:52]  But if I search for C++, now I get a lot.
[0:57:55]  And if I get rid of that where clause altogether
[0:57:57]  and just look at the contents of my database,
[0:58:00]  now you see that indeed C++ is commingled with all the other data.
[0:58:03]  This is not what you all intended, of course, so I can undo this.
[0:58:06]  Let me go ahead and undo what I just did.
[0:58:08]  Let me set my favorite language to C where language equals C++.
[0:58:15]  But the predicate is important.
[0:58:17]  This I'm not going to do.
[0:58:18]  What if I accidentally omitted this predicate, the where clause?
[0:58:22]  How would that screw things up, might you think?
[0:58:28]  Yeah, in back.
[0:58:31]  It would set every row's language to indeed C. And this is dangerous.
[0:58:36]  And if you start Googling around for like SQL mistakes or the like,
[0:58:40]  people in the real world have accidentally run commands like this.
[0:58:44]  And without naming names, a former member of our teaching staff
[0:58:46]  at one point accidentally ran a command like this
[0:58:49]  and changed every student's name in our database to Bobby, I think it was.
[0:58:54]  The same name for every row because they simply forgot a predicate.
[0:58:57]  So here, too, there's dangers in code.
[0:59:00]  And you should adopt the habit quite quickly of always backing up
[0:59:04]  your data, like with CP, for instance, in Linux or any other technique,
[0:59:08]  or just making sure before you hit Enter that, yes, this is indeed
[0:59:12]  the query I want to execute.
[0:59:13]  And generally speaking, in the real world,
[0:59:15]  there should be process controls in place,
[0:59:17]  like the intern should not have access to the production database,
[0:59:20]  the live database, and the like.
[0:59:22]  But you have a lot of power now with these queries,
[0:59:24]  so just be all the more careful because very easily can you do bad things.
[0:59:27]  So let me undo this.
[0:59:29]  Where language equals quote unquote C++, and I'll zoom back out, Enter.
[0:59:35]  And now I think we're back in business.
[0:59:37]  C is among the answers.
[0:59:38]  Yeah.
[0:59:45]  Is essentially doing what at the end?
[0:59:47]  It's essentially find and replace.
[0:59:49]  Yes, in layperson's terms, this is find and replace implemented with SQL.
[0:59:53]  And in fact, the authors of Microsoft Word or Google Docs
[0:59:57]  might very well be using language like
